name,theme,product_code,ageRange,pieceCount,price,minifigureCount,buildHeight,buildWidth,buildDepth,url,date
Lightning McQueen und Mater in der Waschanlage,Disney™,10996,2+,29.0,34.99,,,,,/de-de/product/lightning-mcqueen--maters-car-wash-fun-10996,2023-02-28
Micky Schlüsselanhänger,Disney™,853998,6+,,5.99,,,,,/de-de/product/mickey-key-chain-853998,2023-02-28
I-Aah Schlüsselanhänger,Disney™,854203,6+,,5.99,,,,,/de-de/product/eeyore-key-chain-854203,2023-02-28
Cinderellas Schloss,Disney™,43206,5+,365.0,84.99,,,,,/de-de/product/cinderella-and-prince-charmings-castle-43206,2023-02-28
"Auroras, Meridas und Tianas Zauberwerke",Disney™,43203,6+,558.0,64.99,,,,,/de-de/product/aurora-merida-and-tianas-enchanted-creations-43203,2023-02-28
Mickys und Minnies Geburtstagszug,DUPLO®,10941,2+,22.0,34.99,,,,,/de-de/product/mickey--minnie-birthday-train-10941,2023-02-28
Enchanted Treasury,Disney™,5006808,6+,,14.99,,,,,/de-de/product/enchanted-treasury-5006808,2023-02-28
Elsas Schmuckkästchen,Die Eiskönigin,41168,6+,300.0,39.99,,,,,/de-de/product/elsa-s-jewelry-box-creation-41168,2023-02-28
Winnie Puuh Schlüsselanhänger,Disney™,854191,6+,,5.99,,,,,/de-de/product/wp-854191,2023-02-28
Jasmins und Mulans Abenteuer,Disney™,43208,5+,176.0,44.99,,,,,/de-de/product/jasmine-and-mulans-adventure-43208,2023-02-28
Goofy Key Chain,Disney™,854196,6+,,5.99,,,,,/de-de/product/goofy-key-chain-854196,2023-02-28
Elsas Schlosshof,Disney™,43199,5+,53.0,9.99,,,,,/de-de/product/elsas-castle-courtyard-43199,2023-02-28
Annas Schlosshof,Disney™,43198,5+,74.0,9.99,,,,,/de-de/product/annas-castle-courtyard-43198,2023-02-28
Elsa und Nokks Eisstall,Disney™,43209,4+,53.0,14.99,,,,,/de-de/product/elsa-and-the-nokks-ice-stable-43209,2023-02-28
Belles Ballsaal,Disney™,10960,2+,23.0,19.99,,,,,/de-de/product/belles-ballroom-10960,2023-02-28
Schlüsselanhänger mit Daisy Duck,Disney™,854112,6+,,5.99,,,,,/de-de/product/daisy-duck-key-chain-854112,2023-02-28
LEGO® l Disney Die Eiskönigin 2 Anna-Schlüsselanhänger,Die Eiskönigin,853969,6+,,5.99,,,,,/de-de/product/lego--disney-frozen-2-anna-key-chain-853969,2023-02-28
Cinderellas königliche Kutsche,Disney™,43192,6+,237.0,39.99,,,,,/de-de/product/cinderellas-royal-carriage-43192,2023-02-28
Disney's Mickey Mouse,Disney™,31202,18+,2658.0,119.99,,,,,/de-de/product/disneys-mickey-mouse-31202,2023-02-28
Micky Maus und Minnie Maus,Disney™,43179,18+,1739.0,179.99,,"H: 15"" (36cm)","B: 8"" (19cm)","T: 7"" (17cm)",/de-de/product/mickey-mouse-minnie-mouse-buildable-characters-43179,2023-02-28
Elsa und die Rentierkutsche,Die Eiskönigin,41166,4+,116.0,29.99,,,,,/de-de/product/elsas-wagon-adventure-41166,2023-02-28
LEGO® ǀ Disney Prinzessin Rätselabenteuer,Disney™,5005946,4+,,7.99,,,,,/de-de/product/lego-disney-prinzessin-ratselabenteuer-5005946,2023-02-28
Tigger,Disney™,854193,6+,,5.99,,,,,/de-de/product/tigger-854193,2023-02-28
Minnie Schlüsselanhänger,Disney™,853999,6+,,5.99,,,,,/de-de/product/minnie-key-chain-853999,2023-02-28
LEGO® l Disney Die Eiskönigin 2 Elsa-Schlüsselanhänger,Die Eiskönigin,853968,6+,,5.99,,,,,/de-de/product/lego--disney-frozen-2-elsa-key-chain-853968,2023-02-28
Ultimatives Partyset,DOTS,41806,6+,1154.0,49.99,,,,,/de-de/product/ultimate-party-kit-41806,2023-02-28
Kreativ-Aufkleber,DOTS,41954,6+,95.0,6.99,,,,,/de-de/product/adhesive-patch-41954,2023-02-28
Bananen Stiftehalter,DOTS,41948,6+,438.0,19.99,,,,,/de-de/product/cute-banana-pen-holder-41948,2023-02-28
Friends Code Together,DOTS,5007365,6+,,7.99,,,,,/de-de/product/friends-code-together-5007365,2023-02-28
Kreativ-Aufnäher,DOTS,41955,8+,95.0,6.99,,,,,/de-de/product/stitch-on-patch-41955,2023-02-28
Tier-Kreativbox mit Schubfach,DOTS,41805,6+,643.0,24.99,,,,,/de-de/product/creative-animal-drawer-41805,2023-02-28
Ergänzungsset Glitzerpracht,DOTS,41803,6+,115.0,3.99,,,,,/de-de/product/extra-dots-series-8--glitter-and-shine-41803,2023-02-28
DOTS Mini Bilderrahmen,DOTS,30556,6+,85.0,3.99,,,,,/de-de/product/mini-frame-30556,2023-02-28
Mosaic Design Sticker Book,DOTS,5007357,6+,,5.99,,,,,/de-de/product/mosaic-design-sticker-book-5007357,2023-02-28
Armbanddesign Kreativset,DOTS,41807,6+,388.0,29.99,,,,,/de-de/product/bracelet-designer-mega-pack-41807,2023-02-28
Einhorn Armband,DOTS,41802,8+,37.0,6.99,,,,,/de-de/product/unicorns-forever-bracelet-41802,2023-02-28
Tier Armband,DOTS,41801,6+,37.0,6.99,,,,,/de-de/product/my-pets-bracelet-41801,2023-02-28
Ergänzungsset Emojis,DOTS,41946,6+,118.0,3.99,,,,,/de-de/product/extra-dots--series-6-41946,2023-02-28
